"","gene.id","gene.name","cds.id","chr","chr.coding.start","chr.coding.end","cds.start","cds.end","length","strand"
"32","SMEST051736001.1","MSTRG.13189","CDS85703","dd_Smes_g4_3",6468814,6470244,1,1431,1431,-1
"33","SMEST051604001.1","MSTRG.13152","CDS84569","dd_Smes_g4_3",5203580,5203666,1,87,87,1
"34","SMEST051604001.1","MSTRG.13152","CDS84576","dd_Smes_g4_3",5218333,5218470,1,138,138,1
"35","SMEST051604001.1","MSTRG.13152","CDS84580","dd_Smes_g4_3",5220926,5221081,1,156,156,1
"36","SMEST051137001.1","MSTRG.13404","CDS89486","dd_Smes_g4_3",13839268,13839582,1,315,315,1
"37","SMEST050687001.1","MSTRG.13029","CDS81045","dd_Smes_g4_3",1131247,1132083,1,837,837,-1
"38","SMEST050687001.1","MSTRG.13029","CDS81046","dd_Smes_g4_3",1130819,1131196,1,378,378,-1
"39","SMEST050687001.1","MSTRG.13029","CDS81049","dd_Smes_g4_3",1123837,1124214,1,378,378,-1
"40","SMEST050687001.1","MSTRG.13029","CDS81057","dd_Smes_g4_3",1116873,1117688,1,816,816,-1
"41","SMEST050687001.1","MSTRG.13029","CDS81059","dd_Smes_g4_3",1113351,1115240,1,1890,1890,-1
"42","SMEST050316001.1","MSTRG.15464","CDS141665","dd_Smes_g4_39",2472132,2474297,1,2166,2166,-1
"43","SMEST050181001.1","MSTRG.15427","CDS140751","dd_Smes_g4_39",1442257,1444065,1,1809,1809,-1
"44","SMEST048799002.1","MSTRG.15050","CDS131948","dd_Smes_g4_37",1593492,1594214,1,723,723,-1
"45","SMEST046152001.1","MSTRG.14322","CDS115779","dd_Smes_g4_33",4275159,4275395,1,237,237,1
"46","SMEST046058001.1","MSTRG.14299","CDS115287","dd_Smes_g4_33",3431588,3433018,1,1431,1431,1
"47","SMEST046023001.1","MSTRG.14285","CDS115029","dd_Smes_g4_33",2929666,2930058,1,393,393,-1
"48","SMEST045902001.1","MSTRG.14259","CDS114149","dd_Smes_g4_33",1837081,1837659,1,579,579,-1
"49","SMEST045902001.1","MSTRG.14259","CDS114150","dd_Smes_g4_33",1836248,1836967,1,720,720,-1
"50","SMEST044635001.1","MSTRG.13755","CDS103220","dd_Smes_g4_31",354913,361896,1,6984,6984,1
"51","SMEST043780002.1","MSTRG.13426","CDS89854","dd_Smes_g4_30",520853,520996,1,144,144,-1
"52","SMEST043780002.1","MSTRG.13426","CDS89856","dd_Smes_g4_30",519320,519454,1,135,135,-1
"53","SMEST043378001.1","MSTRG.13498","CDS93171","dd_Smes_g4_30",1734630,1734908,1,279,279,1
"54","SMEST043297001.1","MSTRG.13459","CDS92541","dd_Smes_g4_30",1040374,1040607,1,234,234,1
"55","SMEST042249001.1","MSTRG.8767","CDS545097","dd_Smes_g4_2",5897309,5897572,1,264,264,1
"56","SMEST042249001.1","MSTRG.8767","CDS545100","dd_Smes_g4_2",5897953,5898195,1,243,243,1
"57","SMEST041076001.1","MSTRG.12803","CDS74707","dd_Smes_g4_29",3021826,3022086,1,261,261,1
"58","SMEST040843001.1","MSTRG.12769","CDS74352","dd_Smes_g4_29",1497881,1500049,1,2169,2169,1
"59","SMEST039009001.1","MSTRG.12205","CDS59062","dd_Smes_g4_27",4092764,4093603,1,840,840,-1
"60","SMEST039009001.1","MSTRG.12205","CDS59066","dd_Smes_g4_27",4087660,4088079,1,420,420,-1
"61","SMEST039009001.1","MSTRG.12205","CDS59067","dd_Smes_g4_27",4084896,4085294,1,399,399,-1
"62","SMEST038434001.1","MSTRG.12382","CDS63923","dd_Smes_g4_277",232646,233188,1,543,543,-1
"63","SMEST038434001.1","MSTRG.12382","CDS63924","dd_Smes_g4_277",232339,232662,1,324,324,-1
"64","SMEST038434001.1","MSTRG.12382","CDS63928","dd_Smes_g4_277",216038,216448,1,411,411,-1
"65","SMEST037681001.1","MSTRG.11784","CDS45299","dd_Smes_g4_26",3554390,3554935,1,546,546,1
"66","SMEST037681001.1","MSTRG.11784","CDS45300","dd_Smes_g4_26",3556837,3557739,1,903,903,1
"67","SMEST037091001.1","MSTRG.11973","CDS51126","dd_Smes_g4_265",227972,229669,1,1698,1698,-1
"68","SMEST037091001.1","MSTRG.11973","CDS51127","dd_Smes_g4_265",227242,227889,1,648,648,-1
"69","SMEST037091001.1","MSTRG.11973","CDS51130","dd_Smes_g4_265",226713,227036,1,324,324,-1
"70","SMEST035947001.1","MSTRG.11603","CDS41551","dd_Smes_g4_257",284416,286749,1,2334,2334,-1
"71","SMEST035430001.1","MSTRG.10892","CDS26229","dd_Smes_g4_24",854434,854757,1,324,324,-1
"72","SMEST033819001.1","MSTRG.10603","CDS17263","dd_Smes_g4_23",6216477,6216731,1,255,255,1
"73","SMEST033568001.1","MSTRG.10525","CDS14755","dd_Smes_g4_23",3650481,3653057,1,2577,2577,-1
"74","SMEST031324002.1","MSTRG.10283","CDS6978","dd_Smes_g4_223",753369,753605,1,237,237,-1
"75","SMEST031324002.1","MSTRG.10283","CDS6981","dd_Smes_g4_223",751198,751809,1,612,612,-1
"76","SMEST031130001.1","MSTRG.10244","CDS6544","dd_Smes_g4_221",788762,789145,1,384,384,-1
"77","SMEST029771001.1","MSTRG.9959","CDS576641","dd_Smes_g4_217",298819,299889,1,1071,1071,-1
"78","SMEST028599001.1","MSTRG.9135","CDS557984","dd_Smes_g4_20",2730377,2731078,1,702,702,-1
"79","SMEST028499001.1","MSTRG.9118","CDS557674","dd_Smes_g4_20",1737511,1737939,1,429,429,-1
"80","SMEST026207001.1","MSTRG.612","CDS473944","dd_Smes_g4_1",15864744,15865403,1,660,660,-1
"81","SMEST024481001.1","MSTRG.8067","CDS526713","dd_Smes_g4_19",941423,942370,1,948,948,1
"82","SMEST024481001.1","MSTRG.8067","CDS526714","dd_Smes_g4_19",942666,943232,1,567,567,1
"83","SMEST023167001.1","MSTRG.7585","CDS513570","dd_Smes_g4_18",5987097,5987198,1,102,102,-1
"84","SMEST021171002.1","MSTRG.6753","CDS489530","dd_Smes_g4_17",4637798,4639132,1,1335,1335,-1
"85","SMEST021171002.1","MSTRG.6753","CDS489531","dd_Smes_g4_17",4630404,4631069,1,666,666,-1
"86","SMEST020924001.1","MSTRG.6677","CDS488054","dd_Smes_g4_17",2273578,2274231,1,654,654,-1
"87","SMEST020479001.1","MSTRG.7164","CDS500741","dd_Smes_g4_177",296749,297582,1,834,834,-1
"88","SMEST020023001.1","MSTRG.7005","CDS496474","dd_Smes_g4_173",729957,731474,1,1518,1518,-1
"89","SMEST019988001.1","MSTRG.7003","CDS496463","dd_Smes_g4_173",575109,576032,1,924,924,1
"90","SMEST017337001.1","MSTRG.6203","CDS475795","dd_Smes_g4_160",1031336,1031440,1,105,105,1
"91","SMEST014105001.1","MSTRG.5001","CDS439724","dd_Smes_g4_149",292417,294129,1,1713,1713,1
"92","SMEST014001001.1","MSTRG.4997","CDS439716","dd_Smes_g4_149",46139,46360,1,222,222,-1
"93","SMEST014001001.1","MSTRG.4997","CDS439717","dd_Smes_g4_149",45958,46089,1,132,132,-1
"94","SMEST014001001.1","MSTRG.4997","CDS439718","dd_Smes_g4_149",44184,44483,1,300,300,-1
"95","SMEST013789001.1","MSTRG.4906","CDS437981","dd_Smes_g4_147",884926,885120,1,195,195,1
"96","SMEST013364001.1","MSTRG.4819","CDS435273","dd_Smes_g4_145",1012069,1012203,1,135,135,1
"97","SMEST011907001.1","MSTRG.3517","CDS399956","dd_Smes_g4_13",4261576,4262154,1,579,579,-1
"98","SMEST011828001.1","MSTRG.3495","CDS398660","dd_Smes_g4_13",3727372,3728004,1,633,633,1
"99","SMEST011791001.1","MSTRG.3480","CDS398505","dd_Smes_g4_13",3354673,3355659,1,987,987,1
"100","SMEST010476002.1","MSTRG.4004","CDS414903","dd_Smes_g4_134",1352330,1352521,1,192,192,-1
"101","SMEST010263001.1","MSTRG.3928","CDS411455","dd_Smes_g4_133",1454291,1454620,1,330,330,-1
"102","SMEST010263001.1","MSTRG.3928","CDS411456","dd_Smes_g4_133",1454043,1454246,1,204,204,-1
"103","SMEST009479001.1","MSTRG.2815","CDS383797","dd_Smes_g4_12",7824521,7825618,1,1098,1098,-1
"104","SMEST009463001.1","MSTRG.2814","CDS383793","dd_Smes_g4_12",7740021,7740578,1,558,558,-1
"105","SMEST009451001.1","MSTRG.2809","CDS383766","dd_Smes_g4_12",7667776,7668435,1,660,660,-1
"106","SMEST006968001.1","MSTRG.2933","CDS385419","dd_Smes_g4_121",931699,931812,1,114,114,1
"107","SMEST006643001.1","MSTRG.2896","CDS384747","dd_Smes_g4_120",1819627,1819980,1,354,354,-1
"108","SMEST005945002.1","MSTRG.1736","CDS197678","dd_Smes_g4_11",4010878,4011108,1,231,231,-1
"109","SMEST005857002.1","MSTRG.1712","CDS190999","dd_Smes_g4_11",3120549,3120839,1,291,291,1
"110","SMEST005857002.1","MSTRG.1712","CDS191000","dd_Smes_g4_11",3120895,3121347,1,453,453,1
"111","SMEST005857002.1","MSTRG.1712","CDS191004","dd_Smes_g4_11",3123403,3123582,1,180,180,1
"112","SMEST005857002.1","MSTRG.1712","CDS191005","dd_Smes_g4_11",3123642,3123929,1,288,288,1
"113","SMEST004792001.1","MSTRG.2299","CDS356268","dd_Smes_g4_115",2055124,2059446,1,4323,4323,1
"114","SMEST003855001.1","MSTRG.2061","CDS287574","dd_Smes_g4_111",1844656,1844886,1,231,231,-1
"115","SMEST003855001.1","MSTRG.2061","CDS287578","dd_Smes_g4_111",1843547,1844263,1,717,717,-1
"116","SMEST002152001.1","MSTRG.1518","CDS135630","dd_Smes_g4_108",354349,354816,1,468,468,1
"117","SMEST002152001.1","MSTRG.1518","CDS135632","dd_Smes_g4_108",355314,355808,1,495,495,1
"118","SMEST002152001.1","MSTRG.1518","CDS135633","dd_Smes_g4_108",355866,356627,1,762,762,1
"119","SMEST000962001.1","MSTRG.1224","CDS61269","dd_Smes_g4_103",449616,449750,1,135,135,1
"120","MSTRG.9947.1","MSTRG.9947","CDS576487","dd_Smes_g4_216",872358,873884,1,1527,1527,1
"121","MSTRG.9444.1","MSTRG.9444","CDS565913","dd_Smes_g4_205",487455,487952,1,498,498,-1
"122","MSTRG.9368.1","MSTRG.9368","CDS564349","dd_Smes_g4_202",919198,920583,1,1386,1386,-1
"123","MSTRG.9058.2","MSTRG.9058","CDS556886","dd_Smes_g4_2",15773734,15774042,1,309,309,1
"124","MSTRG.84.8","MSTRG.84","CDS535746","dd_Smes_g4_1",1685190,1685390,1,201,201,1
"125","MSTRG.8026.1","MSTRG.8026","CDS525753","dd_Smes_g4_189",998655,1000544,1,1890,1890,1
"126","MSTRG.628.1","MSTRG.628","CDS477977","dd_Smes_g4_1",16290987,16291265,1,279,279,-1
"127","MSTRG.6061.1","MSTRG.6061","CDS472112","dd_Smes_g4_16",3289432,3289818,1,387,387,-1
"128","MSTRG.5504.1","MSTRG.5504","CDS457061","dd_Smes_g4_150",368796,369044,1,249,249,-1
"129","MSTRG.5504.1","MSTRG.5504","CDS457064","dd_Smes_g4_150",367148,367429,1,282,282,-1
"130","MSTRG.4073.3","MSTRG.4073","CDS416986","dd_Smes_g4_136",449847,450275,1,429,429,1
"131","MSTRG.4001.2","MSTRG.4001","CDS414868","dd_Smes_g4_134",1348974,1349189,1,216,216,-1
"132","MSTRG.4001.2","MSTRG.4001","CDS414869","dd_Smes_g4_134",1348777,1348908,1,132,132,-1
"133","MSTRG.4001.2","MSTRG.4001","CDS414871","dd_Smes_g4_134",1347625,1347963,1,339,339,-1
"134","MSTRG.3778.3","MSTRG.3778","CDS406011","dd_Smes_g4_131",1348122,1348670,1,549,549,1
"135","MSTRG.3334.2","MSTRG.3334","CDS395822","dd_Smes_g4_129",381085,381621,1,537,537,1
"136","MSTRG.23375.4","MSTRG.23375","CDS365151","dd_Smes_g4_95",900154,900708,1,555,555,-1
"137","MSTRG.23375.4","MSTRG.23375","CDS365157","dd_Smes_g4_95",905855,906256,1,402,402,-1
"138","MSTRG.23375.4","MSTRG.23375","CDS365159","dd_Smes_g4_95",905524,905670,1,147,147,-1
"139","MSTRG.23375.4","MSTRG.23375","CDS365161","dd_Smes_g4_95",904651,904800,1,150,150,-1
"140","MSTRG.23375.4","MSTRG.23375","CDS365162","dd_Smes_g4_95",904521,904604,1,84,84,-1
"141","MSTRG.23375.4","MSTRG.23375","CDS365163","dd_Smes_g4_95",902669,903844,1,1176,1176,-1
"142","MSTRG.23375.4","MSTRG.23375","CDS365164","dd_Smes_g4_95",901733,902059,1,327,327,-1
"143","MSTRG.21468.1","MSTRG.21468","CDS313342","dd_Smes_g4_79",2068925,2068996,1,72,72,1
"144","MSTRG.21342.2","MSTRG.21342","CDS309473","dd_Smes_g4_78",1147078,1147332,1,255,255,1
"145","MSTRG.21079.3","MSTRG.21079","CDS302839","dd_Smes_g4_75",1331048,1331671,1,624,624,1
"146","MSTRG.21079.3","MSTRG.21079","CDS302840","dd_Smes_g4_75",1331721,1332032,1,312,312,1
"147","MSTRG.21079.3","MSTRG.21079","CDS302841","dd_Smes_g4_75",1332101,1332328,1,228,228,1
"148","MSTRG.20931.1","MSTRG.20931","CDS299592","dd_Smes_g4_73",2823041,2823253,1,213,213,-1
"149","MSTRG.2088.3","MSTRG.2088","CDS298467","dd_Smes_g4_112",448222,448500,1,279,279,1
"150","MSTRG.20661.3","MSTRG.20661","CDS288480","dd_Smes_g4_70",1067006,1067674,1,669,669,-1
"151","MSTRG.20661.3","MSTRG.20661","CDS288493","dd_Smes_g4_70",1039754,1040488,1,735,735,-1
"152","MSTRG.1895.3","MSTRG.1895","CDS239370","dd_Smes_g4_11",8682115,8682174,1,60,60,1
"153","MSTRG.18861.1","MSTRG.18861","CDS237039","dd_Smes_g4_58",1373742,1374776,1,1035,1035,-1
"154","MSTRG.17869.1","MSTRG.17869","CDS210956","dd_Smes_g4_50",2752013,2752207,1,195,195,-1
"155","MSTRG.17869.1","MSTRG.17869","CDS210958","dd_Smes_g4_50",2717203,2717691,1,489,489,-1
"156","MSTRG.17707.1","MSTRG.17707","CDS207188","dd_Smes_g4_5",9726326,9726622,1,297,297,-1
"157","MSTRG.16761.1","MSTRG.16761","CDS180448","dd_Smes_g4_45",937586,939304,1,1719,1719,1
"158","MSTRG.15169.1","MSTRG.15169","CDS135409","dd_Smes_g4_376",71212,71427,1,216,216,-1
"159","MSTRG.14032.2","MSTRG.14032","CDS108798","dd_Smes_g4_32",2196565,2198778,1,2214,2214,-1
"160","MSTRG.12365.1","MSTRG.12365","CDS63511","dd_Smes_g4_275",401170,401403,1,234,234,-1
